Foedsels_aar;Foedsels_maaned;Foedsels_dag;Sikker_Foedsels_aar;Doeds_aar;Doeds_maaned;Doeds_dag;Sikker_doeds_aar;Start_regeringsaar;Slut_regeringsaar;Periode;Sikker_start_ regeringsaar;Sikker_slut_regeringsaar;Navn
908;NA;NA;Usikker;958;NA;NA;Sikker;936;958;22;Sikker;Sikker;Gorm_Den_Gamle
NA;NA;NA;Usikker;987;NA;NA;Sikker;NA;987;NA;Usikker;Sikker;Harald_1_Blaatand
980;NA;NA;Usikker;1014;NA;NA;Sikker;NA;1014;NA;Usikker;Sikker;Svend_1_Tveskeag
NA;NA;NA;Usikker;1018;NA;NA;Sikker;1014;1018;4;Sikker;Sikker;Harald_2
995;NA;NA;Sikker;1035;NA;NA;Sikker;1018;1035;17;Sikker;Sikker;Knud_1_Den_Store
1020;NA;NA;Sikker;1042;NA;NA;Sikker;1035;1042;7;Sikker;Sikker;Hardeknud
1024;NA;NA;Sikker;1047;NA;NA;Sikker;1042;1047;5;Sikker;Sikker;Magnus_Den_Gode
NA;NA;NA;Usikker;1047;4;28;Sikker;1047;1074;27;Sikker;Sikker;Svend_2_Estridsen
NA;NA;NA;Usikker;1080;NA;NA;Sikker;1074;1080;6;Sikker;Sikker;Harald_3_Hen
NA;NA;NA;Usikker;1086;10;7;Sikker;1080;1086;6;Sikker;Sikker;Knud_2_Den_Hellige
NA;NA;NA;Usikker;1095;NA;NA;Sikker;1086;1095;9;Sikker;Sikker;Oluf_1_Hunger
1056;NA;NA;Sikker;1103;NA;NA;Sikker;1095;1103;8;Sikker;Sikker;Erik_1_Ejegod
NA;NA;NA;Usikker;1134;NA;NA;Sikker;1104;1134;30;Sikker;Sikker;Niels
NA;NA;NA;Usikker;1137;7;18;Sikker;1134;1137;3;Sikker;Sikker;Erik_2_Emune
NA;NA;NA;Usikker;1146;8;27;Sikker;1137;1146;9;Sikker;Sikker;Erik_3_Lam
NA;NA;NA;Usikker;NA;NA;NA;Usikker;1146;1157;11;Sikker;Sikker;Svend_Knud_valdemar
1131;NA;NA;Sikker;1182;NA;NA;Sikker;1157;1182;25;Sikker;Sikker;Valdemar_1_Den_Store
1163;NA;NA;Sikker;1202;NA;NA;Sikker;1182;1202;20;Sikker;Sikker;Knud_4
1170;NA;NA;Sikker;1241;NA;NA;Sikker;1202;1241;39;Sikker;Sikker;Valdemar_2_Sejr
1216;NA;NA;Sikker;1250;NA;NA;Sikker;1241;1250;9;Sikker;Sikker;Erik_4_Plovpenning
1218;NA;NA;Sikker;1252;NA;NA;Sikker;1250;1252;2;Sikker;Sikker;Abel
1219;NA;NA;Sikker;1259;NA;NA;Sikker;1252;1259;7;Sikker;Sikker;Christoffer_1
1249;NA;NA;Sikker;1286;NA;NA;Sikker;1259;1286;27;Sikker;Sikker;Erik_5_Klipping
1274;NA;NA;Sikker;1319;NA;NA;Sikker;1286;1319;33;Sikker;Sikker;Erik_6_Menved
1276;NA;NA;Sikker;1332;NA;NA;Sikker;1320;1326;6;Sikker;Sikker;Christoffer_2
1315;NA;NA;Sikker;1364;NA;NA;Sikker;1326;1329;3;Sikker;Sikker;Valdemar_3
